# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
21

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZQCTGKKFUH,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,17
# x,y,z,u,w
5.753560085624653819e-02, 9.772001290141591953e-03, 2.027423317433078853e-02, 1.399999999999999911e+00, 3.250000000000000000e+00
5.753560085624655207e-02, 1.787968808268806248e-02, 1.373750429239930550e-02, 1.399999999999999911e+00, 3.500000000000000000e+00
5.753560085624655207e-02, 2.331442709568907340e-02, 3.995919526066741070e-03, 1.399999999999999911e+00, 3.750000000000000000e+00
5.753560085624655207e-02, 2.528872087670356456e-02, -7.776000000000002528e-03, 1.399999999999999911e+00, 4.000000000000000000e+00
9.327840624340447140e-02, 2.865914725113571232e-02, -4.223999999999998589e-03, 1.600000000000000089e+00, 0.000000000000000000e+00
9.327840624340447140e-02, 2.641503539089497254e-02, -1.819361565912017142e-02, 1.600000000000000089e+00, 2.500000000000000000e-01
9.327840624340449915e-02, 2.026201603850916536e-02, -2.968930150611124447e-02, 1.600000000000000089e+00, 5.000000000000000000e-01
9.327840624340447140e-02, 1.110591950806781927e-02, -3.742026744124575532e-02, 1.600000000000000089e+00, 7.500000000000000000e-01
9.327840624340447140e-02, -2.331468351712827724e-18, -4.024314725113571634e-02, 1.600000000000000089e+00, 1.000000000000000000e+00
9.327840624340447140e-02, -1.110591950806782101e-02, -3.742026744124575532e-02, 1.600000000000000089e+00, 1.250000000000000000e+00
9.327840624340447140e-02, -2.026201603850916189e-02, -2.968930150611124794e-02, 1.600000000000000089e+00, 1.500000000000000000e+00
9.327840624340447140e-02, -2.641503539089496561e-02, -1.819361565912017142e-02, 1.600000000000000089e+00, 1.750000000000000000e+00
9.327840624340447140e-02, -2.865914725113571232e-02, -4.223999999999999456e-03, 1.600000000000000089e+00, 2.000000000000000000e+00
9.327840624340447140e-02, -2.641503539089496561e-02, 9.745615659120175980e-03, 1.600000000000000089e+00, 2.250000000000000000e+00
9.327840624340447140e-02, -2.026201603850916189e-02, 2.124130150611125423e-02, 1.600000000000000089e+00, 2.500000000000000000e+00
9.327840624340447140e-02, -1.110591950806782274e-02, 2.897226744124575815e-02, 1.600000000000000089e+00, 2.750000000000000000e+00
9.327840624340447140e-02, -3.212741077958346832e-18, 3.179514725113571222e-02, 1.600000000000000089e+00, 3.000000000000000000e+00
9.327840624340447140e-02, 1.110591950806782274e-02, 2.897226744124575815e-02, 1.600000000000000089e+00, 3.250000000000000000e+00
9.327840624340447140e-02, 2.026201603850916536e-02, 2.124130150611125423e-02, 1.600000000000000089e+00, 3.500000000000000000e+00
9.327840624340447140e-02, 2.641503539089497254e-02, 9.745615659120177715e-03, 1.600000000000000089e+00, 3.750000000000000000e+00
9.327840624340447140e-02, 2.865914725113571232e-02, -4.223999999999998589e-03, 1.600000000000000089e+00, 4.000000000000000000e+00
1.276141410870415549e-01, 2.985304908371190155e-02, -1.247999999999999544e-03, 1.800000000000000044e+00, 0.000000000000000000e+00
1.276141410870415827e-01, 2.750868171844881097e-02, -1.643588490564200019e-02, 1.800000000000000044e+00, 2.500000000000000000e-01
1.276141410870415827e-01, 2.110545847012657711e-02, -2.887170466731288354e-02, 1.800000000000000044e+00, 5.000000000000000000e-01
1.276141410870415827e-01, 1.160048293380739996e-02, -3.725164904239367664e-02, 1.800000000000000044e+00, 7.500000000000000000e-01
1.276141410870415549e-01, -7.771561172376092093e-19, -4.032104908371189622e-02, 1.800000000000000044e+00, 1.000000000000000000e+00
1.276141410870415549e-01, -1.160048293380739649e-02, -3.725164904239367664e-02, 1.800000000000000044e+00, 1.250000000000000000e+00
1.276141410870415549e-01, -2.110545847012657017e-02, -2.887170466731288354e-02, 1.800000000000000044e+00, 1.500000000000000000e+00
1.276141410870415549e-01, -2.750868171844880750e-02, -1.643588490564200019e-02, 1.800000000000000044e+00, 1.750000000000000000e+00
1.276141410870415549e-01, -2.985304908371190155e-02, -1.247999999999999977e-03, 1.800000000000000044e+00, 2.000000000000000000e+00
1.276141410870415549e-01, -2.750868171844880750e-02, 1.393988490564200197e-02, 1.800000000000000044e+00, 2.250000000000000000e+00
1.276141410870415549e-01, -2.110545847012657017e-02, 2.637570466731288532e-02, 1.800000000000000044e+00, 2.500000000000000000e+00
1.276141410870415549e-01, -1.160048293380739823e-02, 3.475564904239368536e-02, 1.800000000000000044e+00, 2.750000000000000000e+00
1.276141410870415549e-01, -1.070913692652782213e-18, 3.782504908371189800e-02, 1.800000000000000044e+00, 3.000000000000000000e+00
1.276141410870415549e-01, 1.160048293380739996e-02, 3.475564904239368536e-02, 1.800000000000000044e+00, 3.250000000000000000e+00
1.276141410870415549e-01, 2.110545847012657711e-02, 2.637570466731288532e-02, 1.800000000000000044e+00, 3.500000000000000000e+00
1.276141410870415549e-01, 2.750868171844881097e-02, 1.393988490564200197e-02, 1.800000000000000044e+00, 3.750000000000000000e+00
1.276141410870415549e-01, 2.985304908371190155e-02, -1.247999999999999544e-03, 1.800000000000000044e+00, 4.000000000000000000e+00
1.559999999999999443e-01, 2.999999999999999889e-02, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
1.559999999999999720e-01, 2.764089150958199889e-02, -1.556356603832799619e-02, 2.000000000000000000e+00, 2.500000000000000000e-01
1.559999999999999998e-01, 2.120904402555200130e-02, -2.827872536740265799e-02, 2.000000000000000000e+00, 5.000000000000000000e-01
